time,rad_s
82.456,48.82
82.46,48.7143
82.464,48.6985
82.468,48.685
82.472,48.6828
82.476,48.6344
82.48,48.6026
82.484,48.5847
82.488,48.5909
82.492,48.5004
82.496,48.4327
82.5,48.7384
82.504,48.9949
82.508,49.3704
82.512,49.6602
82.516,49.9223
82.52,50.1298
82.524,50.2976
82.528,50.3851
82.532,50.308
82.536,50.1958
82.54,50.1002
82.544,49.9724
82.548,49.817
82.552,49.6289
82.556,49.4222
82.56,49.1718
82.564,49.1255
82.568,49.0861
82.572,49.0432
82.576,48.9973
82.58,49.1657
82.584,49.3396
82.588,49.5863
82.592,49.8342
82.596,50.2035
82.6,50.4888
82.604,50.696
82.608,50.812
82.612,50.8963
82.616,50.9746
82.62,50.9682
82.624,50.9162
82.628,50.807
82.632,50.6489
82.636,50.4492
82.64,50.2233
82.644,49.808
82.648,49.3335
82.652,48.892
82.656,48.5529
82.66,48.2453
82.664,47.9925
82.668,47.8142
82.672,47.7179
82.676,47.7009
82.68,47.846
82.684,47.9513
82.688,48.4234
82.692,48.7318
82.696,49.1106
82.7,49.592
82.704,50.0447
82.708,50.4423
82.712,50.6278
82.716,50.8141
82.72,50.9493
82.724,51.0819
82.728,51.0782
82.732,50.9543
82.736,50.7837
82.74,50.6383
82.744,50.3937
82.748,50.1389
82.752,49.866
82.756,49.7635
82.76,49.639
82.764,49.5143
82.768,49.3802
82.772,49.2659
82.776,49.1871
82.78,49.1663
82.784,49.168
82.788,49.2036
82.792,49.2639
82.796,49.7032
82.8,50.0566
82.804,50.3133
82.808,50.8092
82.812,50.8942
82.816,50.9559
82.82,50.9662
82.824,50.8402
82.828,50.6864
82.832,50.2676
82.836,49.8457
82.84,49.4119
82.844,49.0144
82.848,48.6292
82.852,48.2732
82.856,47.9698
82.86,47.6369
82.864,47.3997
82.868,47.2533
82.872,47.4521
82.876,47.7512
82.88,48.1403
82.884,48.5605
82.888,49.0377
82.892,49.5389
82.896,49.7997
82.9,50.0751
82.904,50.3266
82.908,50.5093
82.912,50.4602
82.916,50.3719
82.92,50.2409
82.924,50.0736
82.928,49.9125
82.932,49.7194
82.936,49.4435
82.94,49.162
82.944,48.9406
82.948,48.7242
82.952,48.484
82.956,48.2794
82.96,48.1143
82.964,48.0571
82.968,48.0363
82.972,48.0894
82.976,48.1107
82.98,48.2122
82.984,48.3719
82.988,48.5567
82.992,48.8456
82.996,49.0898
83.0,49.3359
83.004,49.5319
83.008,49.6741
83.012,49.6743
83.016,49.665
83.02,49.7536
83.024,49.7663
83.028,49.7249
83.032,49.8143
83.036,49.8122
83.04,49.7733
83.044,49.8494
83.048,49.8531
83.052,49.8267
83.056,49.6092
83.06,49.396
83.064,49.2144
83.068,49.0224
83.072,48.831
83.076,48.6586
83.08,48.5396
83.084,48.4288
83.088,48.3345
83.092,48.2633
83.096,48.3746
83.1,48.4211
83.104,48.5064
83.108,48.6199
83.112,48.5623
83.116,48.541
83.12,48.5418
83.124,48.5597
83.128,48.6586
83.132,48.7132
83.136,48.7701
83.14,48.8286
83.144,48.8883
83.148,48.9316
83.152,48.9631
83.156,48.864
83.16,48.7702
83.164,48.6811
83.168,48.5773
83.172,48.4609
83.176,48.3433
83.18,48.243
83.184,48.2738
83.188,48.279
83.192,48.2828
83.196,48.3028
83.2,48.2641
83.204,48.2892
83.208,48.3246
83.212,48.7974
83.216,49.1408
83.22,49.3902
83.224,49.6228
83.228,49.809
83.232,49.9442
83.236,50.0251
83.24,50.0197
83.244,49.9594
83.248,49.9359
83.252,49.8229
83.256,49.6803
83.26,49.503
83.264,49.2591
83.268,48.9863
83.272,48.7073
83.276,48.3211
83.28,47.9641
83.284,47.6321
83.288,47.4327
83.292,47.0678
83.296,46.7661
83.3,46.5462
83.304,46.3588
83.308,46.2919
83.312,46.3584
83.316,46.4926
83.32,46.7105
83.324,47.1439
83.328,47.4586
83.332,47.9451
83.336,47.9716
83.34,48.0424
83.344,48.1282
83.348,48.1906
83.352,48.2014
83.356,48.2953
83.36,48.3119
83.364,48.2998
83.368,48.2523
83.372,48.1283
83.376,47.8648
83.38,47.6124
83.384,47.3602
83.388,47.1082
83.392,46.8655
83.396,46.6495
83.4,46.4561
83.404,46.2913
83.408,46.1508
83.412,46.5483
83.416,46.9057
83.42,47.2513
83.424,47.571
83.428,47.4364
83.432,47.368
83.436,47.1984
83.44,47.0538
83.444,46.912
83.448,46.7912
83.452,46.6511
83.456,46.4946
83.46,46.3427
83.464,46.2132
83.468,46.1029
83.472,45.9996
83.476,45.8187
83.48,45.6738
83.484,45.569
83.488,45.526
83.492,45.508
83.496,45.4184
83.5,45.342
83.504,45.3591
83.508,45.3193
83.512,45.3133
83.516,45.3554
83.52,45.4376
83.524,45.6348
83.528,45.7953
83.532,45.929
83.536,45.94
83.54,45.9997
83.544,46.0946
83.548,46.1635
83.552,46.2135
83.556,46.2327
83.56,46.2123
83.564,46.1857
83.568,46.1537
83.572,46.1265
83.576,46.3243
83.58,46.4507
83.584,46.5081
83.588,47.3925
83.592,47.7767
83.596,48.0386
83.6,48.2287
